title,rate,image,director,date
자산어보,9.18,https://movie-phinf.pstatic.net/20210331_104/1617166166627wzUHH_JPEG/movie_image.jpg?type=m99_141_2,이준익,2021.03.31 
고질라 VS. 콩,8.42,https://movie-phinf.pstatic.net/20210310_199/1615367075185E9pMt_JPEG/movie_image.jpg?type=m99_141_2,애덤 윈가드,2021.03.25 
극장판 귀멸의 칼날: 무한열차편,9.31,https://movie-phinf.pstatic.net/20210126_174/1611638248803840HH_JPEG/movie_image.jpg?type=m99_141_2,소토자키 하루오,2021.01.27 
미나리,7.81,https://movie-phinf.pstatic.net/20210322_142/1616399817643EJ85O_JPEG/movie_image.jpg?type=m99_141_2,정이삭,2021.03.03 
아무도 없는 곳,7.05,https://movie-phinf.pstatic.net/20210318_169/1616050035638vpyp7_JPEG/movie_image.jpg?type=m99_141_2,김종관,2021.03.31 
패왕별희 디 오리지널,9.32,https://movie-phinf.pstatic.net/20210210_265/1612922673967HDuOX_JPEG/movie_image.jpg?type=m99_141_2,천카이거,2021.03.31 
해길랍,6.11,https://movie-phinf.pstatic.net/20210310_108/1615364735577t3OEz_JPEG/movie_image.jpg?type=m99_141_2,채밀결,2021.03.31 
라야와 마지막 드래곤,9.16,https://movie-phinf.pstatic.net/20210215_30/1613366376318deAa1_JPEG/movie_image.jpg?type=m99_141_2,돈 홀,2021.03.04 
"조제, 호랑이 그리고 물고기들",9.08,https://movie-phinf.pstatic.net/20210324_5/1616552731595IPjJv_JPEG/movie_image.jpg?type=m99_141_2,타무라 코타로,2021.03.31 
소울,9.30,https://movie-phinf.pstatic.net/20210107_160/1609984702837oNdmw_JPEG/movie_image.jpg?type=m99_141_2,피트 닥터,2021.01.20 
최면,5.28,https://movie-phinf.pstatic.net/20210315_6/1615776377782BBsNl_JPEG/movie_image.jpg?type=m99_141_2,최재훈,2021.03.24 
스파이의 아내,8.27,https://movie-phinf.pstatic.net/20210308_237/1615171952260dkz3u_JPEG/movie_image.jpg?type=m99_141_2,구로사와 기요시,2021.03.25 
커피 오어 티,8.86,https://movie-phinf.pstatic.net/20210317_213/1615941660599xGURu_JPEG/movie_image.jpg?type=m99_141_2,데렉 후이,2021.03.31 
당신의 사월,3.47,https://movie-phinf.pstatic.net/20210224_183/1614131241587WTJdt_JPEG/movie_image.jpg?type=m99_141_2,주현숙,2021.04.01 
